NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for lzu.edu.cn

NXDOMAIN for 110.lzu.edu.cn

NXDOMAIN for 110.lzu.edu.cn

NXDOMAIN for 110.lzu.edu.cn

NXDOMAIN for 110.lzu.edu.cn

aaa.lzu.edu.cn. 3600 IN A 202.201.0.175

acc.lzu.edu.cn. 4129 IN A 202.201.0.44

acc.lzu.edu.cn. 4128 IN A 202.201.0.44

acc.lzu.edu.cn. 4128 IN A 202.201.0.44

acc.lzu.edu.cn. 4128 IN A 202.201.0.44

account.lzu.edu.cn. 3600 IN A 202.201.0.231

account.lzu.edu.cn. 3599 IN A 202.201.0.231

account.lzu.edu.cn. 3599 IN A 202.201.0.231

account.lzu.edu.cn. 3599 IN A 202.201.0.231

account.lzu.edu.cn. 3599 IN A 202.201.0.231

account.lzu.edu.cn. 3599 IN A 202.201.0.231

account.lzu.edu.cn. 3599 IN A 202.201.0.231

account.lzu.edu.cn. 3599 IN A 202.201.0.231

account.lzu.edu.cn. 3599 IN A 202.201.0.231

account.lzu.edu.cn. 3599 IN A 202.201.0.231

ag.lzu.edu.cn. 3600 IN A 202.201.0.43

ag.lzu.edu.cn. 3599 IN A 202.201.0.43

ag.lzu.edu.cn. 3599 IN A 202.201.0.43

ag.lzu.edu.cn. 3599 IN A 202.201.0.43

ag.lzu.edu.cn. 3599 IN A 202.201.0.43

ag.lzu.edu.cn. 3599 IN A 202.201.0.43

ag.lzu.edu.cn. 3599 IN A 202.201.0.43

ag.lzu.edu.cn. 3599 IN A 202.201.0.43

ag.lzu.edu.cn. 3599 IN A 202.201.0.43

ag.lzu.edu.cn. 3599 IN A 202.201.0.43

ag.lzu.edu.cn. 3599 IN A 202.201.0.43

agroeco.lzu.edu.cn. 3600 IN A 202.201.1.70

agroeco.lzu.edu.cn. 3599 IN A 202.201.1.70

agroeco.lzu.edu.cn. 3599 IN A 202.201.1.70

agroeco.lzu.edu.cn. 3599 IN A 202.201.1.70

agroeco.lzu.edu.cn. 3599 IN A 202.201.1.70

agroeco.lzu.edu.cn. 3599 IN A 202.201.1.70

agroeco.lzu.edu.cn. 3599 IN A 202.201.1.70

agroeco.lzu.edu.cn. 3599 IN A 202.201.1.70

agroeco.lzu.edu.cn. 3599 IN A 202.201.1.70

agroeco.lzu.edu.cn. 3599 IN A 202.201.1.70

alpha.lzu.edu.cn. 3600 IN A 202.201.0.133

alpha.lzu.edu.cn. 3599 IN A 202.201.0.133

alpha.lzu.edu.cn. 3599 IN A 202.201.0.133

alpha.lzu.edu.cn. 3599 IN A 202.201.0.133

alpha.lzu.edu.cn. 3599 IN A 202.201.0.133

alpha.lzu.edu.cn. 3599 IN A 202.201.0.133

alpha.lzu.edu.cn. 3599 IN A 202.201.0.133

alpha.lzu.edu.cn. 3599 IN A 202.201.0.133

alpha.lzu.edu.cn. 3599 IN A 202.201.0.133

alpha.lzu.edu.cn. 3599 IN A 202.201.0.133

alpha.lzu.edu.cn. 3599 IN A 202.201.0.133

alumni.lzu.edu.cn. 7200 IN A 202.201.0.42

alumni.lzu.edu.cn. 7199 IN A 202.201.0.42

alumni.lzu.edu.cn. 7199 IN A 202.201.0.42

alumni.lzu.edu.cn. 7199 IN A 202.201.0.42

alumni.lzu.edu.cn. 7199 IN A 202.201.0.42

alumni.lzu.edu.cn. 7199 IN A 202.201.0.42

alumni.lzu.edu.cn. 7199 IN A 202.201.0.42

alumni.lzu.edu.cn. 7199 IN A 202.201.0.42

alumni.lzu.edu.cn. 7199 IN A 202.201.0.42

alumni.lzu.edu.cn. 7199 IN A 202.201.0.42

alumni.lzu.edu.cn. 7199 IN A 202.201.0.42

ams.lzu.edu.cn. 3600 IN A 202.201.13.26

ams.lzu.edu.cn. 3599 IN A 202.201.13.26

ams.lzu.edu.cn. 3599 IN A 202.201.13.26

ams.lzu.edu.cn. 3599 IN A 202.201.13.26

ams.lzu.edu.cn. 3599 IN A 202.201.13.26

ams.lzu.edu.cn. 3599 IN A 202.201.13.26

ams.lzu.edu.cn. 3599 IN A 202.201.13.26

ams.lzu.edu.cn. 3599 IN A 202.201.13.26

ams.lzu.edu.cn. 3599 IN A 202.201.13.26

app.lzu.edu.cn. 3600 IN A 202.201.0.66

app.lzu.edu.cn. 3599 IN A 202.201.0.66

app.lzu.edu.cn. 3599 IN A 202.201.0.66

app.lzu.edu.cn. 3599 IN A 202.201.0.66

app.lzu.edu.cn. 3599 IN A 202.201.0.66

app.lzu.edu.cn. 3599 IN A 202.201.0.66

app.lzu.edu.cn. 3599 IN A 202.201.0.66

app.lzu.edu.cn. 3599 IN A 202.201.0.66

app.lzu.edu.cn. 3599 IN A 202.201.0.66

app.lzu.edu.cn. 3599 IN A 202.201.0.66

application.lzu.edu.cn. 7200 IN A 202.201.13.178

application.lzu.edu.cn. 7199 IN A 202.201.13.178

application.lzu.edu.cn. 7199 IN A 202.201.13.178

application.lzu.edu.cn. 7199 IN A 202.201.13.178

application.lzu.edu.cn. 7199 IN A 202.201.13.178

application.lzu.edu.cn. 7199 IN A 202.201.13.178

application.lzu.edu.cn. 7199 IN A 202.201.13.178

application.lzu.edu.cn. 7199 IN A 202.201.13.178

application.lzu.edu.cn. 7199 IN A 202.201.13.178

application.lzu.edu.cn. 7199 IN A 202.201.13.178

appyy.lzu.edu.cn. 7200 IN A 202.201.13.107

appyy.lzu.edu.cn. 7199 IN A 202.201.13.107

appyy.lzu.edu.cn. 7199 IN A 202.201.13.107

appyy.lzu.edu.cn. 7199 IN A 202.201.13.107

appyy.lzu.edu.cn. 7199 IN A 202.201.13.107

appyy.lzu.edu.cn. 7199 IN A 202.201.13.107

appyy.lzu.edu.cn. 7199 IN A 202.201.13.107

appyy.lzu.edu.cn. 7199 IN A 202.201.13.107

appyy.lzu.edu.cn. 7199 IN A 202.201.13.107

appyy.lzu.edu.cn. 7199 IN A 202.201.13.107

archives.lzu.edu.cn. 272 IN A 202.201.1.247

archives.lzu.edu.cn. 271 IN A 202.201.1.247

archives.lzu.edu.cn. 271 IN A 202.201.1.247

