NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

532movie.bnu.edu.cn. 10800 IN A 172.16.215.40

acm.bnu.edu.cn. 10800 IN A 202.112.88.60

acm.bnu.edu.cn. 7199 IN A 202.112.88.60

acm.bnu.edu.cn. 7199 IN A 202.112.88.60

acm.bnu.edu.cn. 7199 IN A 202.112.88.60

acm.bnu.edu.cn. 7199 IN A 202.112.88.60

acm.bnu.edu.cn. 7199 IN A 202.112.88.60

acm.bnu.edu.cn. 7199 IN A 202.112.88.60

acm.bnu.edu.cn. 7199 IN A 202.112.88.60

acm.bnu.edu.cn. 7199 IN A 202.112.88.60

acm.bnu.edu.cn. 7199 IN A 202.112.88.60

acm.bnu.edu.cn. 7199 IN A 202.112.88.60

admission.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

admission.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

admissionold.bnu.edu.cn. 10800 IN A 59.64.36.8

adrem.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 4308 IN A 60.247.18.6

adrem.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 4308 IN A 60.247.18.6

adrem.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 4308 IN A 60.247.18.6

ai.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

ai.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

ai.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

aic-fe.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

