NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

2019.jiangnan.edu.cn. 4320 IN A 202.195.147.56

ac.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4319 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4319 IN A 202.195.147.249

ac.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4319 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4319 IN A 202.195.147.249

ac.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4319 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4319 IN A 202.195.147.249

ac.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4319 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4319 IN A 202.195.147.249

ac.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4319 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4319 IN A 202.195.147.249

admission.jiangnan.edu.cn. 4320 IN CNAME 3a01a7e4dd787004.cname.365cyd.cn.
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 118.212.233.160
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 1.31.128.212

admission.jiangnan.edu.cn. 4319 IN CNAME 3a01a7e4dd787004.cname.365cyd.cn.
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 118.212.233.160
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 1.31.128.212

admission.jiangnan.edu.cn. 4319 IN CNAME 3a01a7e4dd787004.cname.365cyd.cn.
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 118.212.233.160
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 1.31.128.212

admission.jiangnan.edu.cn. 4319 IN CNAME 3a01a7e4dd787004.cname.365cyd.cn.
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 118.212.233.160
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 1.31.128.212

admission.jiangnan.edu.cn. 4319 IN CNAME 3a01a7e4dd787004.cname.365cyd.cn.
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 118.212.233.160
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 1.31.128.212

admission.jiangnan.edu.cn. 4319 IN CNAME 3a01a7e4dd787004.cname.365cyd.cn.
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 118.212.233.160
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 1.31.128.212

admission.jiangnan.edu.cn. 4319 IN CNAME 3a01a7e4dd787004.cname.365cyd.cn.
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 118.212.233.160
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 1.31.128.212

admission.jiangnan.edu.cn. 4319 IN CNAME 3a01a7e4dd787004.cname.365cyd.cn.
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 118.212.233.160
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 1.31.128.212

admission.jiangnan.edu.cn. 4319 IN CNAME 3a01a7e4dd787004.cname.365cyd.cn.
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 118.212.233.160
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 1.31.128.212

admission.jiangnan.edu.cn. 4319 IN CNAME 3a01a7e4dd787004.cname.365cyd.cn.
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 118.212.233.160
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 1.31.128.212

admission.jiangnan.edu.cn. 4319 IN CNAME 3a01a7e4dd787004.cname.365cyd.cn.
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 118.212.233.160
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 1.31.128.212

admission.jiangnan.edu.cn. 4319 IN CNAME 3a01a7e4dd787004.cname.365cyd.cn.
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 118.212.233.160
3a01a7e4dd787004.cname.365cyd.cn. 199 IN A 1.31.128.212

